Team,Team Average Height,Team Win Percentage
ATL,78.8125,0.585
BOS,77.82352941176471,0.585
BKN,78.6470588235294,0.256
CHA,78.375,0.585
CHI,79.17647058823529,0.512
CLE,77.88235294117646,0.695
DAL,78.76470588235294,0.512
DEN,79.5,0.402
DET,78,0.537
HOU,77.6470588235294,0.5
IND,78.23529411764706,0.549
LAC,78.52941176470588,0.646
LAL,78.41176470588235,0.207
MEM,78.8125,0.512
MIA,78.88235294117646,0.585
MIL,78.47058823529412,0.402
MIN,78.0625,0.354
OKC,78.4375,0.671
ORL,78.82352941176471,0.427
PHI,78.75,0.122
PHX,78.3125,0.28
POR,79.8125,0.537
SAC,78.4375,0.402
TOR,78.75,0.683
End Study of Average Height
Team,Team Average Weight,Team Win Percentage
POR,225.4375,0.537
MIL,225.23529411764707,0.402
BOS,224.8235294117647,0.585
DEN,223.75,0.402
LAL,221.76470588235293,0.207
MIA,221.23529411764707,0.585
CLE,220.7058823529412,0.695
PHI,220.6875,0.122
CHI,219.23529411764707,0.512
DAL,218.88235294117646,0.512
MEM,218.25,0.512
LAC,217.64705882352942,0.646
ATL,217.25,0.585
MIN,216.75,0.354
BKN,216.64705882352942,0.256
SAC,215.5625,0.402
CHA,215.375,0.585
HOU,215.23529411764707,0.5
ORL,214.88235294117646,0.427
OKC,214.6875,0.671
IND,212.58823529411765,0.549
TOR,210.75,0.683
PHX,210.125,0.28
DET,208.52941176470588,0.537
End Study of Average Weight
Team,Team Average Catch and Shoot % ,Team Win Percentage
ATL,0.5738888888888889,0.585
POR,0.5711428571428572,0.537
SAC,0.5676666666666665,0.402
MIA,0.5631,0.585
OKC,0.562125,0.671
CLE,0.55225,0.695
IND,0.5462499999999999,0.549
PHI,0.5454285714285714,0.122
TOR,0.54425,0.683
DAL,0.539,0.512
MIL,0.5343333333333333,0.402
ORL,0.5331666666666667,0.427
CHI,0.5330000000000001,0.512
LAC,0.5283,0.646
DET,0.5277499999999999,0.537
LAL,0.5158333333333333,0.207
MIN,0.5154545454545455,0.354
CHA,0.5132142857142858,0.585
PHX,0.5126666666666666,0.28
DEN,0.5116428571428572,0.402
HOU,0.5111666666666667,0.5
BOS,0.509875,0.585
MEM,0.49289999999999967,0.512
BKN,0.485344827586207,0.256
End Study of Catch and Shoot %
Team,Team Average Efficient Shot % ,Team Win Percentage
MIA,0.5323,0.585
ATL,0.5257777777777778,0.585
SAC,0.5247777777777777,0.402
OKC,0.517875,0.671
POR,0.5158571428571429,0.537
CLE,0.510875,0.695
IND,0.5046249999999999,0.549
ORL,0.49950000000000006,0.427
DET,0.4989166666666666,0.537
DAL,0.4982500000000001,0.512
TOR,0.497375,0.683
LAC,0.49610000000000004,0.646
CHA,0.49071428571428577,0.585
CHI,0.49060000000000004,0.512
PHI,0.48971428571428566,0.122
HOU,0.4863333333333333,0.5
DEN,0.4860714285714286,0.402
MIN,0.4854545454545454,0.354
MIL,0.4835,0.402
BOS,0.48249999999999993,0.585
PHX,0.4769166666666666,0.28
MEM,0.47683333333333305,0.512
BKN,0.4740344827586208,0.256
LAL,0.45849999999999996,0.207
End Study of Efficient Shot %
